name,type,constant,required,rank
n_age,int,TRUE,FALSE,0
n_vacc,int,TRUE,FALSE,0
n_risk,int,TRUE,FALSE,0
N0,real_type,FALSE,TRUE,3
I0,real_type,FALSE,TRUE,3
incubation_rate,real_type,FALSE,TRUE,0
recovery_rate,real_type,FALSE,TRUE,0
alpha,real_type,FALSE,FALSE,0
delta,real_type,FALSE,FALSE,0
prop_severe,real_type,FALSE,TRUE,3
severe_recovery_rate,real_type,FALSE,TRUE,0
severe_death_rate,real_type,FALSE,FALSE,0
prop_complications,real_type,FALSE,FALSE,0
R0,real_type,FALSE,TRUE,1
tt_R0,real_type,FALSE,TRUE,1
no_R0_changes,int,TRUE,TRUE,0
contact_matrix,real_type,FALSE,TRUE,2
seeded,real_type,FALSE,TRUE,4
tt_seeded,real_type,FALSE,TRUE,1
no_seeded_changes,int,TRUE,TRUE,0
initial_background_death,real_type,FALSE,TRUE,2
crude_death,real_type,FALSE,TRUE,3
no_death_changes,int,TRUE,TRUE,0
tt_death_changes,real_type,FALSE,TRUE,1
simp_birth_death,real_type,FALSE,FALSE,0
crude_birth,real_type,FALSE,TRUE,2
no_birth_changes,int,TRUE,TRUE,0
tt_birth_changes,real_type,FALSE,TRUE,1
repro_low,real_type,FALSE,TRUE,0
repro_high,real_type,FALSE,TRUE,0
age_maternal_protection_ends,int,TRUE,TRUE,0
protection_weight_vacc,real_type,FALSE,TRUE,1
protection_weight_rec,real_type,FALSE,TRUE,1
aging_rate,real_type,FALSE,TRUE,1
tt_vaccination_coverage,real_type,FALSE,TRUE,1
no_vacc_changes,int,TRUE,TRUE,0
vaccination_coverage,real_type,FALSE,TRUE,4
age_vaccination_beta_modifier,real_type,FALSE,TRUE,3
tt_moving_risk,real_type,FALSE,TRUE,1
no_moving_risk_changes,int,TRUE,TRUE,0
moving_risk_values,real_type,FALSE,TRUE,4
moving_risk_distribution_values,real_type,FALSE,TRUE,4
no_migration_changes,int,TRUE,TRUE,0
tt_migration,real_type,FALSE,TRUE,1
migration_in_number,real_type,FALSE,TRUE,4
migration_distribution_values,real_type,FALSE,TRUE,2
fertility_modifier,real_type,FALSE,TRUE,0
death_modifier,real_type,FALSE,TRUE,0
short_term_waning,real_type,FALSE,TRUE,1
long_term_waning,real_type,FALSE,TRUE,1
