Name,GENC,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Gaza Strip,XG,1960,308158,,856,,,,,,,,,,
Gaza Strip,XG,1961,300820,,835.6,,,,,,,,,,
Gaza Strip,XG,1962,312235,,867.3,,,,,,,,,,
Gaza Strip,XG,1963,322836,,896.8,,,,,,,,,,
Gaza Strip,XG,1964,335066,,930.7,,,,,,,,,,
Gaza Strip,XG,1965,349743,,971.5,,,,,,,,,,
Gaza Strip,XG,1966,359527,,998.7,,,,,,,,,,
Gaza Strip,XG,1967,368747,,"1,024.30",,,,,,,,,,
Gaza Strip,XG,1968,343960,,955.4,,,,,,,,,,
Gaza Strip,XG,1969,336247,,934,,,,,,,,,,
Gaza Strip,XG,1970,342656,,951.8,,,,,,,,,,
Gaza Strip,XG,1971,349979,,972.2,,,,,,,,,,
Gaza Strip,XG,1972,358158,,994.9,,,,,,,,,,
Gaza Strip,XG,1973,369395,,"1,026.10",,,,,,,,,,
Gaza Strip,XG,1974,382779,,"1,063.30",,,,,,,,,,
Gaza Strip,XG,1975,394688,,"1,096.40",,,,,,,,,,
Gaza Strip,XG,1976,406293,,"1,128.60",,,,,,,,,,
Gaza Strip,XG,1977,418872,,"1,163.50",,,,,,,,,,
Gaza Strip,XG,1978,431608,,"1,198.90",,,,,,,,,,
Gaza Strip,XG,1979,443480,,"1,231.90",,,,,,,,,,
Gaza Strip,XG,1980,455360,,"1,264.90",,,,,,,,,,
Gaza Strip,XG,1981,467811,,"1,299.50",,,,,,,,,,
Gaza Strip,XG,1982,481743,,"1,338.20",,,,,,,,,,
Gaza Strip,XG,1983,498190,,"1,383.90",,,,,,,,,,
Gaza Strip,XG,1984,515172,,"1,431.00",,,,,,,,,,
Gaza Strip,XG,1985,531778,,"1,477.20",,,,,,,,,,
Gaza Strip,XG,1986,549712,,"1,527.00",,,,,,,,,,
Gaza Strip,XG,1987,569331,,"1,581.50",,,,,,,,,,
Gaza Strip,XG,1988,592371,,"1,645.50",,,,,,,,,,
Gaza Strip,XG,1989,616317,,"1,712.00",,,,,,,,,,
Gaza Strip,XG,1990,645133,,"1,792.00",,,,,,,,,,
Gaza Strip,XG,1991,679869,,"1,888.50",,,,,,,,,,
Gaza Strip,XG,1992,719081,,"1,997.40",,,,,,,,,,
Gaza Strip,XG,1993,761408,,"2,115.00",,,,,,,,,,
Gaza Strip,XG,1994,817688,,"2,271.40",,,,,,,,,,
Gaza Strip,XG,1995,885169,,"2,458.80",,,,,,,,,,
Gaza Strip,XG,1996,950388,,"2,640.00",,,,,,,,,,
Gaza Strip,XG,1997,1018271,3.62,"2,828.50",6.2,70.1,33.9,1.03,111.1,104.6,6.5,15.2,15.4,14.9
Gaza Strip,XG,1998,1056039,3.66,"2,933.40",6.2,70.3,33.1,1.03,110.4,104.1,6.4,15.2,15.5,15
Gaza Strip,XG,1999,1092595,3.15,"3,035.00",6.2,70.5,32.3,1.03,110.3,104,6.3,15.3,15.5,15
Gaza Strip,XG,2000,1127829,3.19,"3,132.90",6.2,70.7,31.5,1.03,110.4,104.2,6.2,15.2,15.5,15
Gaza Strip,XG,2001,1163170,2.98,"3,231.00",6.2,70.9,30.7,1.03,110.3,104.2,6.1,15.2,15.4,15
Gaza Strip,XG,2002,1198617,3.02,"3,329.50",6.2,71.1,29.9,1.03,110,104,6,15.2,15.4,15
Gaza Strip,XG,2003,1234166,2.83,"3,428.20",6.2,71.3,29.2,1.03,109.3,103.4,5.9,15.2,15.5,15
Gaza Strip,XG,2004,1269814,2.87,"3,527.30",6.2,71.4,28.5,1.03,108.3,102.5,5.7,15.3,15.5,15.1
Gaza Strip,XG,2005,1305570,2.69,"3,626.60",6.2,71.6,27.8,1.03,107.2,101.6,5.6,15.4,15.6,15.2
Gaza Strip,XG,2006,1341475,2.74,"3,726.30",6.2,71.8,27.1,1.03,106.3,100.8,5.4,15.4,15.6,15.2
Gaza Strip,XG,2007,1377597,2.58,"3,826.70",6.2,72,26.4,1.03,105.5,100.2,5.3,15.5,15.7,15.3
Gaza Strip,XG,2008,1416563,2.99,"3,934.90",5.95,69.8,28.5,1.03,104.6,99.4,5.2,15.6,15.8,15.3
Gaza Strip,XG,2009,1461252,3.21,"4,059.00",5.7,72.4,25.2,1.03,103.2,98.1,5,15.7,15.9,15.4
Gaza Strip,XG,2010,1509928,3.34,"4,194.20",5.45,72.6,24.5,1.03,101.4,96.5,4.9,15.8,16.1,15.6
Gaza Strip,XG,2011,1560230,3.22,"4,334.00",5.2,72.8,23.8,1.03,99.5,94.7,4.8,16,16.3,15.8
Gaza Strip,XG,2012,1610287,3.1,"4,473.00",4.95,73,23.2,1.03,97.5,92.7,4.8,16.2,16.5,16
Gaza Strip,XG,2013,1660336,3.02,"4,612.00",4.77,73.2,22.5,1.03,95.8,91.1,4.7,16.5,16.8,16.2
Gaza Strip,XG,2014,1709702,2.84,"4,749.20",4.59,70.3,25,1.03,94,89.3,4.7,16.7,17,16.4
Gaza Strip,XG,2015,1759231,2.87,"4,886.80",4.41,73.7,20.9,1.03,92.1,87.4,4.7,16.9,17.2,16.6
Gaza Strip,XG,2016,1809738,2.79,"5,027.00",4.23,73.9,20.5,1.03,90,85.2,4.7,17.1,17.5,16.9
Gaza Strip,XG,2017,1860123,2.7,"5,167.00",4.05,74.2,20.1,1.03,87.7,82.9,4.8,17.4,17.7,17.1
Gaza Strip,XG,2018,1901997,1.76,"5,283.30",3.88,74.4,19.6,1.03,85.5,80.7,4.8,17.7,18,17.4
Gaza Strip,XG,2019,1935117,1.69,"5,375.30",3.74,74.7,19.2,1.03,83.4,78.6,4.8,17.9,18.2,17.7
Gaza Strip,XG,2020,1972024,2.08,"5,477.80",3.6,72.7,22.7,1.03,81.1,76.3,4.8,18.2,18.5,18
Gaza Strip,XG,2021,2012914,2.02,"5,591.40",3.6,69.7,29.1,1.03,78.6,73.8,4.8,18.5,18.8,18.3
Gaza Strip,XG,2022,2055000,2.11,"5,708.30",3.5,74.1,20.1,1.03,76.1,71.3,4.8,18.9,19.1,18.6
Gaza Strip,XG,2023,2098389,2.07,"5,828.90",3.38,74.8,18.9,1.03,73.7,68.9,4.9,19.2,19.5,18.9
Gaza Strip,XG,2024,2141643,2.02,"5,949.00",3.26,75.5,17.8,1.03,71.6,66.6,4.9,19.5,19.8,19.3
Gaza Strip,XG,2025,2184652,1.96,"6,068.50",3.14,76.2,16.7,1.03,69.6,64.5,5.1,19.9,20.2,19.7
